1417588,06/21/2014, $100,000,2,7,8,14,16,21,25,27,28,32,36,39,41,42,49,50,53,55,75,77
1417388,06/20/2014, $100,000,6,12,17,23,27,36,39,40,44,46,47,55,60,67,69,70,71,76,77,80
1417215,06/19/2014, $100,000,4,25,26,33,34,39,42,45,49,51,54,56,63,64,67,70,73,77,78,79
1417030,06/18/2014, $100,000,1,2,8,17,20,26,29,30,37,42,43,45,47,52,62,64,75,76,77,80
1416833,06/17/2014, $100,000,2,3,9,10,14,28,38,39,41,54,58,61,62,65,67,70,76,77,78,79
1416658,06/16/2014, $100,000,2,6,9,10,11,16,32,37,39,42,43,45,53,54,61,63,66,70,71,80
1416489,06/15/2014, $100,000,1,6,8,15,16,20,21,27,30,33,36,40,43,46,49,55,58,62,64,68
1416323,06/14/2014, $100,000,1,6,9,10,14,19,24,28,35,38,42,51,53,57,60,61,62,73,76,78
1416130,06/13/2014, $100,000,5,12,13,15,28,29,30,33,34,39,46,47,48,55,62,65,69,73,79,80
1415943,06/12/2014, $100,000,5,9,14,18,21,29,30,33,37,53,54,56,61,62,63,67,70,72,76,77
1415758,06/11/2014, $100,000,3,5,7,8,9,14,17,20,24,35,36,38,39,49,50,51,53,54,56,69
1415549,06/10/2014, $100,000,4,6,9,11,12,13,15,25,26,32,34,39,45,46,51,65,69,73,75,80
1415377,06/09/2014, $100,000,4,5,21,22,32,33,37,40,45,49,52,56,64,65,66,67,68,76,79,80
1415206,06/08/2014, $100,000,3,13,16,19,25,26,32,35,38,39,40,42,43,44,45,46,56,63,66,71
1415044,06/07/2014, $100,000,6,7,12,15,16,24,29,39,42,44,50,56,58,60,62,64,71,73,78,79
1414843,06/06/2014, $100,000,2,4,10,11,12,16,24,25,28,32,33,37,39,44,46,54,55,66,67,69
1414670,06/05/2014, $100,000,5,7,15,28,29,30,32,34,41,44,47,53,54,56,57,60,68,75,76,77
1414474,06/04/2014, $100,000,2,3,5,7,16,21,22,26,30,31,35,37,38,42,46,48,61,65,71,80
1414364,06/03/2014, $100,000,13,14,15,16,17,18,23,38,40,42,43,44,46,53,61,64,65,68,76,78
1414091,06/02/2014, $100,000,9,11,22,27,28,30,35,41,42,53,56,57,58,64,74,75,76,78,79,80
1413914,06/01/2014, $100,000,12,13,15,22,23,29,34,35,37,43,45,48,49,53,54,60,68,69,72,75
1413740,05/31/2014, $100,000,1,2,8,10,13,15,17,20,22,24,30,32,37,42,50,63,64,69,73,80
1413534,05/30/2014, $100,000,2,9,11,14,16,22,32,36,38,46,51,52,54,62,65,67,71,72,74,75
1413354,05/29/2014, $100,000,1,2,3,4,8,10,15,21,29,32,34,39,57,58,59,61,65,66,72,75
1413157,05/28/2014, $100,000,2,5,11,17,23,30,33,35,39,44,48,51,54,55,56,58,62,66,67,80
1412954,05/27/2014, $100,000,3,4,6,7,12,19,20,25,29,36,39,54,55,57,58,61,63,64,71,72
1412778,05/26/2014, $100,000,1,6,10,16,18,20,23,26,30,32,36,38,45,46,60,61,63,68,70,71
1412600,05/25/2014, $100,000,1,5,7,9,10,11,12,19,23,24,28,30,31,42,52,54,56,58,72,74
1412429,05/24/2014, $100,000,4,10,13,16,23,24,32,33,34,37,39,48,51,59,61,67,74,75,77,78
1412195,05/23/2014, $100,000,1,4,7,13,23,25,26,27,30,33,35,36,41,49,50,51,57,63,69,74
1412034,05/22/2014, $100,000,4,6,7,9,11,16,18,30,34,41,42,43,49,53,62,65,67,68,77,80
1411842,05/21/2014, $100,000,1,2,8,9,12,18,33,42,43,49,51,53,54,55,60,69,70,73,74,75
1411639,05/20/2014, $100,000,14,15,17,20,21,25,29,34,36,37,45,49,52,56,62,67,69,71,78,80
1411459,05/19/2014, $100,000,1,7,8,11,12,13,20,22,26,29,43,44,46,50,52,56,65,66,75,80
1411281,05/18/2014, $100,000,2,19,20,23,26,33,35,40,43,47,48,49,50,51,55,56,58,64,70,75
1411109,05/17/2014, $100,000,7,11,15,17,18,19,21,23,26,35,40,41,46,48,53,54,56,63,66,80
1410899,05/16/2014, $100,000,10,17,22,24,32,33,35,36,38,41,47,48,55,59,65,67,69,70,77,78
