69,53,50,1368763200,63,22,6,64,72,36,23, $250,000,99,80,54,12,1364270400,68,46,Fri May 17 00:00:00 -0400 2013,31,17,34,1321741,78,44,35,18,2013-03-26 04:00:00 UTC
70,51,50,1368763200,65,16,2,67,75,35,21, $250,000,99,78,60,3,1364184000,69,48,Fri May 17 00:00:00 -0400 2013,30,5,31,1321552,76,42,33,14,2013-03-25 04:00:00 UTC
65,37,32,1368763200,52,16,6,54,74,27,17, $250,000,99,79,38,8,1364097600,62,30,Fri May 17 00:00:00 -0400 2013,19,11,21,1321377,77,28,24,15,2013-03-24 04:00:00 UTC
73,59,58,1368763200,67,29,4,70,74,53,36, $250,000,99,79,64,7,1364011200,71,55,Fri May 17 00:00:00 -0400 2013,40,18,44,1321183,78,54,45,22,2013-03-23 04:00:00 UTC
63,51,43,1368763200,57,16,1,59,68,34,19, $250,000,99,76,55,2,1363924800,61,38,Fri May 17 00:00:00 -0400 2013,20,9,30,1320964,69,35,31,11,2013-03-22 04:00:00 UTC
70,53,43,1368763200,66,27,3,67,71,37,31, $250,000,99,79,64,8,1363838400,68,42,Fri May 17 00:00:00 -0400 2013,32,10,34,1320761,74,40,35,22,2013-03-21 04:00:00 UTC
74,59,58,1368763200,68,12,2,70,75,45,25, $250,000,99,80,61,7,1363752000,72,57,Fri May 17 00:00:00 -0400 2013,29,8,35,1320548,77,46,41,10,2013-03-20 04:00:00 UTC
75,56,54,1368763200,66,16,1,68,77,38,23, $250,000,99,80,57,3,1363665600,73,50,Fri May 17 00:00:00 -0400 2013,28,7,34,1320334,78,47,35,11,2013-03-19 04:00:00 UTC
74,61,54,1368763200,66,16,2,68,75,45,35, $250,000,99,79,65,7,1363579200,69,49,Fri May 17 00:00:00 -0400 2013,38,10,39,1320141,77,47,43,11,2013-03-18 04:00:00 UTC
60,41,39,1368763200,48,16,1,54,61,32,19, $250,000,99,78,45,3,1363492800,55,37,Fri May 17 00:00:00 -0400 2013,26,11,28,1319962,73,35,31,14,2013-03-17 04:00:00 UTC
60,49,47,1368763200,53,24,5,54,65,41,27, $250,000,99,74,51,10,1363406400,56,44,Fri May 17 00:00:00 -0400 2013,28,13,29,1319767,70,42,40,15,2013-03-16 04:00:00 UTC
58,39,37,1368763200,41,14,9,43,73,31,17, $250,000,99,80,40,10,1363320000,54,33,Fri May 17 00:00:00 -0400 2013,25,12,27,1319492,76,32,30,13,2013-03-15 04:00:00 UTC
55,42,32,1368763200,46,12,7,48,58,26,15, $250,000,99,75,43,8,1363233600,50,30,Fri May 17 00:00:00 -0400 2013,17,9,18,1319188,65,27,21,11,2013-03-14 04:00:00 UTC
63,51,49,1368763200,60,21,1,61,70,38,24, $250,000,99,80,53,6,1363147200,62,48,Fri May 17 00:00:00 -0400 2013,29,7,30,1318975,76,43,31,19,2013-03-13 04:00:00 UTC
64,51,47,1368763200,58,22,3,61,65,41,24, $250,000,99,80,54,9,1363060800,62,46,Fri May 17 00:00:00 -0400 2013,25,14,34,1318757,73,44,36,21,2013-03-12 04:00:00 UTC
73,45,41,1368763200,53,15,5,66,76,31,20, $250,000,99,79,52,10,1362974400,72,38,Fri May 17 00:00:00 -0400 2013,23,11,26,1318543,77,35,28,12,2013-03-11 04:00:00 UTC
70,51,48,1368763200,57,14,4,59,72,30,16, $250,000,99,79,52,7,1362891600,61,43,Fri May 17 00:00:00 -0400 2013,20,9,23,1318383,76,38,24,12,2013-03-10 05:00:00 UTC
65,49,47,1368763200,55,20,2,59,67,43,21, $250,000,99,76,51,4,1362805200,64,45,Fri May 17 00:00:00 -0400 2013,28,11,35,1318175,71,44,41,18,2013-03-09 05:00:00 UTC
58,39,36,1368763200,46,11,1,52,68,28,12, $250,000,99,74,41,7,1362718800,55,35,Fri May 17 00:00:00 -0400 2013,14,8,16,1317953,73,31,22,10,2013-03-08 05:00:00 UTC
70,58,54,1368763200,66,12,1,67,73,42,18, $250,000,99,79,60,2,1362632400,69,48,Fri May 17 00:00:00 -0400 2013,26,3,32,1317742,74,43,38,9,2013-03-07 05:00:00 UTC
76,55,53,1368763200,65,33,2,66,77,44,38, $250,000,99,79,62,3,1362546000,75,48,Fri May 17 00:00:00 -0400 2013,39,22,40,1317529,78,46,41,28,2013-03-06 05:00:00 UTC
61,52,49,1368763200,57,19,6,59,70,34,21, $250,000,99,75,55,9,1362459600,60,48,Fri May 17 00:00:00 -0400 2013,30,11,31,1317311,73,37,33,13,2013-03-05 05:00:00 UTC
