1380789,12/09/2013, $5,000,8,8,8,2
1380701,12/08/2013, $5,000,0,7,4,3
1380618,12/08/2013, $5,000,1,5,3,4
1380546,12/07/2013, $5,000,8,3,3,1
1380407,12/07/2013, $5,000,6,5,7,4
1380332,12/06/2013, $5,000,0,7,0,6
1380229,12/06/2013, $5,000,0,0,3,1
1380153,12/05/2013, $5,000,4,2,1,0
1380050,12/05/2013, $5,000,9,8,5,4
1379965,12/04/2013, $5,000,4,6,3,7
1379832,12/04/2013, $5,000,8,4,2,8
1379757,12/03/2013, $5,000,5,7,2,0
1376508,12/03/2013, $5,000,5,6,0,2
1376430,12/02/2013, $5,000,3,2,6,8
1376319,12/02/2013, $5,000,4,3,6,6
1376246,12/01/2013, $5,000,4,5,9,4
1376162,12/01/2013, $5,000,3,1,2,7
1376090,11/30/2013, $5,000,1,7,4,9
1375959,11/30/2013, $5,000,5,0,8,6
1375873,11/29/2013, $5,000,3,2,2,1
1375771,11/29/2013, $5,000,2,9,2,3
1375697,11/28/2013, $5,000,7,3,0,3
1375597,11/28/2013, $5,000,3,1,5,1
1375498,11/27/2013, $5,000,5,7,9,1
1375361,11/27/2013, $5,000,4,7,8,6
1375287,11/26/2013, $5,000,0,3,7,1
1375189,11/26/2013, $5,000,7,3,9,7
1375113,11/25/2013, $5,000,0,4,6,0
1375004,11/25/2013, $5,000,4,3,4,7
1374931,11/24/2013, $5,000,0,7,9,7
1374848,11/24/2013, $5,000,3,3,7,2
1374780,11/23/2013, $5,000,3,7,7,0
1374647,11/23/2013, $5,000,5,4,9,9
1374565,11/22/2013, $5,000,9,4,0,6
1374459,11/22/2013, $5,000,5,2,0,5
1374380,11/21/2013, $5,000,1,9,7,6
1374268,11/21/2013, $5,000,9,3,8,4
1374188,11/20/2013, $5,000,8,7,5,3
1374057,11/20/2013, $5,000,6,9,6,8
1373979,11/19/2013, $5,000,1,7,3,1
1373880,11/19/2013, $5,000,9,5,8,7
1373805,11/18/2013, $5,000,5,4,6,4
1373686,11/18/2013, $5,000,8,9,6,9
1373615,11/17/2013, $5,000,9,8,2,2
1373532,11/17/2013, $5,000,9,3,5,1
1373462,11/16/2013, $5,000,4,7,7,4
1373332,11/16/2013, $5,000,2,8,3,8
1373260,11/15/2013, $5,000,9,4,5,1
1373147,11/15/2013, $5,000,6,5,1,2
1373063,11/14/2013, $5,000,1,4,6,4
1372960,11/14/2013, $5,000,0,7,0,7
1372881,11/13/2013, $5,000,6,5,7,6
1372749,11/13/2013, $5,000,2,3,8,5
1372668,11/12/2013, $5,000,5,0,2,0
1372571,11/12/2013, $5,000,9,2,6,1
1372484,11/11/2013, $5,000,1,1,6,4
1372375,11/11/2013, $5,000,5,9,8,5
1372303,11/10/2013, $5,000,1,3,3,6
1372221,11/10/2013, $5,000,5,4,4,1
1372148,11/09/2013, $5,000,3,2,2,1
1372020,11/09/2013, $5,000,8,7,8,1
1371936,11/08/2013, $5,000,0,5,6,9
1371833,11/08/2013, $5,000,8,6,3,4
1371534,11/07/2013, $5,000,8,2,6,9
1371431,11/07/2013, $5,000,5,6,5,7
1371327,11/06/2013, $5,000,2,3,0,5
1371192,11/06/2013, $5,000,4,9,3,6
1371118,11/05/2013, $5,000,0,2,3,1
1371019,11/05/2013, $5,000,6,3,8,6
1370943,11/04/2013, $5,000,8,3,4,4
1370832,11/04/2013, $5,000,9,1,6,4
1370768,11/03/2013, $5,000,5,4,9,9
1370682,11/03/2013, $5,000,1,3,7,3
1370610,11/02/2013, $5,000,6,2,6,6
1370481,11/02/2013, $5,000,9,9,7,0
1370398,11/01/2013, $5,000,6,3,1,9
1370297,11/01/2013, $5,000,9,0,0,0
1370231,10/31/2013, $5,000,0,4,5,0
